source,target,Char 1 Name,Char 2 Name,startPage,type,weight
899.0,1747.0,Mr. Bingley,Miss Darcy,134,Undirected,1
904.0,1713.0,Jane Bennet,Miss Bingley,134,Undirected,1
903.0,1711.0,Elizabeth Bennet,Mrs. Hurst,134,Undirected,1
1712.0,1713.0,Mr. Darcy,Miss Bingley,134,Undirected,1
899.0,906.0,Mr. Bingley,Mary Bennet,135,Undirected,1
896.0,907.0,Mr. Bennet,Kitty Bennet,135,Undirected,1
897.0,903.0,Mrs. Bennet,Elizabeth Bennet,135,Undirected,1
896.0,904.0,Mr. Bennet,Jane Bennet,135,Undirected,1
903.0,904.0,Elizabeth Bennet,Jane Bennet,135,Undirected,1
904.0,906.0,Jane Bennet,Mary Bennet,135,Undirected,1
899.0,907.0,Mr. Bingley,Kitty Bennet,135,Undirected,1
899.0,904.0,Mr. Bingley,Jane Bennet,135,Undirected,1
905.0,907.0,Lydia Bennet,Kitty Bennet,135,Undirected,1
904.0,1711.0,Jane Bennet,Mrs. Hurst,135,Undirected,1
906.0,1711.0,Mary Bennet,Mrs. Hurst,135,Undirected,1
903.0,1712.0,Elizabeth Bennet,Mr. Darcy,135,Undirected,1
907.0,1750.0,Kitty Bennet,Mr. Wickham,135,Undirected,1
1711.0,1712.0,Mrs. Hurst,Mr. Darcy,135,Undirected,1
907.0,1713.0,Kitty Bennet,Miss Bingley,135,Undirected,1
899.0,1712.0,Mr. Bingley,Mr. Darcy,135,Undirected,1
896.0,1713.0,Mr. Bennet,Miss Bingley,135,Undirected,1
905.0,1713.0,Lydia Bennet,Miss Bingley,135,Undirected,1
897.0,1712.0,Mrs. Bennet,Mr. Darcy,135,Undirected,1
903.0,907.0,Elizabeth Bennet,Kitty Bennet,135,Undirected,1
905.0,1711.0,Lydia Bennet,Mrs. Hurst,135,Undirected,1
903.0,1750.0,Elizabeth Bennet,Mr. Wickham,135,Undirected,1
904.0,907.0,Jane Bennet,Kitty Bennet,135,Undirected,1
903.0,905.0,Elizabeth Bennet,Lydia Bennet,135,Undirected,1
896.0,1711.0,Mr. Bennet,Mrs. Hurst,135,Undirected,1
1713.0,1750.0,Miss Bingley,Mr. Wickham,135,Undirected,1
1711.0,1750.0,Mrs. Hurst,Mr. Wickham,135,Undirected,1
899.0,1750.0,Mr. Bingley,Mr. Wickham,135,Undirected,1
899.0,905.0,Mr. Bingley,Lydia Bennet,135,Undirected,1
906.0,1713.0,Mary Bennet,Miss Bingley,135,Undirected,1
897.0,1750.0,Mrs. Bennet,Mr. Wickham,135,Undirected,1
896.0,903.0,Mr. Bennet,Elizabeth Bennet,135,Undirected,1
897.0,905.0,Mrs. Bennet,Lydia Bennet,135,Undirected,1
897.0,899.0,Mrs. Bennet,Mr. Bingley,135,Undirected,1
896.0,906.0,Mr. Bennet,Mary Bennet,135,Undirected,1
905.0,906.0,Lydia Bennet,Mary Bennet,135,Undirected,1
904.0,1713.0,Jane Bennet,Miss Bingley,135,Undirected,1
896.0,897.0,Mr. Bennet,Mrs. Bennet,135,Undirected,1
903.0,1711.0,Elizabeth Bennet,Mrs. Hurst,135,Undirected,1
1712.0,1713.0,Mr. Darcy,Miss Bingley,135,Undirected,1
899.0,1711.0,Mr. Bingley,Mrs. Hurst,135,Undirected,1
906.0,1750.0,Mary Bennet,Mr. Wickham,135,Undirected,1
897.0,1711.0,Mrs. Bennet,Mrs. Hurst,135,Undirected,1
907.0,1712.0,Kitty Bennet,Mr. Darcy,135,Undirected,1
896.0,1712.0,Mr. Bennet,Mr. Darcy,135,Undirected,1
904.0,1750.0,Jane Bennet,Mr. Wickham,135,Undirected,1
904.0,905.0,Jane Bennet,Lydia Bennet,135,Undirected,1
905.0,1712.0,Lydia Bennet,Mr. Darcy,135,Undirected,1
