source,target,Character 1,Character 2,type,weight,startPage,category
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,52,Exchange
14,57,real Barbeau,Macmillan Company of Canada,Directed,1,52,Knows
20,54,"Laxgibuu (""Wolf clan"")","""ancestors of Eagles""",Directed,1,52,Knows of
3,6,"""Eagle-Raven clan""","""Hladerh"" (Laxgibuu)",Directed,1,52,Knows
7,2,"Oyee (""Oyai"")",Sagaween (Laxsgiik),Directed,1,52,Knows of
14,7,real Barbeau,"Oyee (""Oyai"")",Directed,1,52,Knows of
3,5,"""Eagle-Raven clan""","""Sispagut"" (Gisk'aast)",Directed,1,52,Knows
4,7,"Gisk'aast (""Killer Whale Clan"")","Oyee (""Oyai"")",Directed,1,52,Knows
5,7,"""Sispagut"" (Gisk'aast)","Oyee (""Oyai"")",Directed,1,52,Knows
2,5,Sagaween (Laxsgiik),"""Sispagut"" (Gisk'aast)",Directed,1,52,Knows
14,6,real Barbeau,"""Hladerh"" (Laxgibuu)",Directed,1,52,Knows of
14,4,real Barbeau,"Gisk'aast (""Killer Whale Clan"")",Directed,1,52,Knows
3,55,"""Eagle-Raven clan""","""ancestors of Wolves""",Directed,1,52,Knows of
4,2,"Gisk'aast (""Killer Whale Clan"")",Sagaween (Laxsgiik),Directed,1,52,Knows
7,6,"Oyee (""Oyai"")","""Hladerh"" (Laxgibuu)",Directed,1,52,Knows of
57,14,Macmillan Company of Canada,real Barbeau,Directed,1,52,Knows
14,3,real Barbeau,"""Eagle-Raven clan""",Directed,1,52,Knows
2,3,Sagaween (Laxsgiik),"""Eagle-Raven clan""",Directed,1,52,Knows
2,7,Sagaween (Laxsgiik),"Oyee (""Oyai"")",Directed,1,53,Knows of
3,6,"""Eagle-Raven clan""","""Hladerh"" (Laxgibuu)",Directed,1,53,Knows
14,57,real Barbeau,Macmillan Company of Canada,Directed,1,53,Knows
20,54,"Laxgibuu (""Wolf clan"")","""ancestors of Eagles""",Directed,1,53,Knows of
55,2,"""ancestors of Wolves""",Sagaween (Laxsgiik),Directed,1,53,Knows
3,55,"""Eagle-Raven clan""","""ancestors of Wolves""",Directed,1,53,Knows of
55,54,"""ancestors of Wolves""","""ancestors of Eagles""",Directed,1,53,Knows
5,4,"""Sispagut"" (Gisk'aast)","Gisk'aast (""Killer Whale Clan"")",Directed,1,53,Knows
56,14,Caxton Printers,real Barbeau,Directed,1,53,Knows
14,56,real Barbeau,Caxton Printers,Directed,1,53,Knows
5,6,"""Sispagut"" (Gisk'aast)","""Hladerh"" (Laxgibuu)",Directed,1,53,Knows
5,3,"""Sispagut"" (Gisk'aast)","""Eagle-Raven clan""",Directed,1,53,Knows
3,5,"""Eagle-Raven clan""","""Sispagut"" (Gisk'aast)",Directed,1,53,Knows
55,20,"""ancestors of Wolves""","Laxgibuu (""Wolf clan"")",Directed,1,53,Knows
14,2,real Barbeau,Sagaween (Laxsgiik),Directed,1,53,Knows
3,4,"""Eagle-Raven clan""","Gisk'aast (""Killer Whale Clan"")",Directed,1,53,Knows
3,2,"""Eagle-Raven clan""",Sagaween (Laxsgiik),Directed,1,53,Knows
14,54,real Barbeau,"""ancestors of Eagles""",Directed,1,53,Knows of
2,55,Sagaween (Laxsgiik),"""ancestors of Wolves""",Directed,1,53,Knows
2,14,Sagaween (Laxsgiik),real Barbeau,Directed,1,53,Knows
20,55,"Laxgibuu (""Wolf clan"")","""ancestors of Wolves""",Directed,1,53,Knows
14,20,real Barbeau,"Laxgibuu (""Wolf clan"")",Directed,1,53,Knows of
2,20,Sagaween (Laxsgiik),"Laxgibuu (""Wolf clan"")",Directed,1,53,Knows
3,54,"""Eagle-Raven clan""","""ancestors of Eagles""",Directed,1,53,Knows
2,4,Sagaween (Laxsgiik),"Gisk'aast (""Killer Whale Clan"")",Directed,1,53,Knows
20,2,"Laxgibuu (""Wolf clan"")",Sagaween (Laxsgiik),Directed,1,53,Knows
14,4,real Barbeau,"Gisk'aast (""Killer Whale Clan"")",Directed,1,53,Knows
57,14,Macmillan Company of Canada,real Barbeau,Directed,1,53,Knows
14,55,real Barbeau,"""ancestors of Wolves""",Directed,1,53,Knows of
14,7,real Barbeau,"Oyee (""Oyai"")",Directed,1,53,Knows of
7,4,"Oyee (""Oyai"")","Gisk'aast (""Killer Whale Clan"")",Directed,1,53,Knows
54,20,"""ancestors of Eagles""","Laxgibuu (""Wolf clan"")",Directed,1,53,Knows of
14,5,real Barbeau,"""Sispagut"" (Gisk'aast)",Directed,1,53,Knows of
6,5,"""Hladerh"" (Laxgibuu)","""Sispagut"" (Gisk'aast)",Directed,1,53,Knows
54,55,"""ancestors of Eagles""","""ancestors of Wolves""",Directed,1,53,Knows
4,14,"Gisk'aast (""Killer Whale Clan"")",real Barbeau,Directed,1,53,Knows
6,3,"""Hladerh"" (Laxgibuu)","""Eagle-Raven clan""",Directed,1,53,Knows
4,3,"Gisk'aast (""Killer Whale Clan"")","""Eagle-Raven clan""",Directed,1,53,Knows
54,3,"""ancestors of Eagles""","""Eagle-Raven clan""",Directed,1,53,Knows
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,1,53,Exchange
4,5,"Gisk'aast (""Killer Whale Clan"")","""Sispagut"" (Gisk'aast)",Directed,1,53,Knows
2,54,Sagaween (Laxsgiik),"""ancestors of Eagles""",Directed,1,53,Knows of
4,2,"Gisk'aast (""Killer Whale Clan"")",Sagaween (Laxsgiik),Directed,1,53,Knows
14,6,real Barbeau,"""Hladerh"" (Laxgibuu)",Directed,1,53,Knows of
2,5,Sagaween (Laxsgiik),"""Sispagut"" (Gisk'aast)",Directed,1,53,Knows
2,3,Sagaween (Laxsgiik),"""Eagle-Raven clan""",Directed,1,53,Knows
7,6,"Oyee (""Oyai"")","""Hladerh"" (Laxgibuu)",Directed,1,53,Knows of
4,7,"Gisk'aast (""Killer Whale Clan"")","Oyee (""Oyai"")",Directed,1,53,Knows
14,3,real Barbeau,"""Eagle-Raven clan""",Directed,1,53,Knows
5,7,"""Sispagut"" (Gisk'aast)","Oyee (""Oyai"")",Directed,1,53,Knows
6,4,"""Hladerh"" (Laxgibuu)","Gisk'aast (""Killer Whale Clan"")",Directed,1,53,Knows
7,5,"Oyee (""Oyai"")","""Sispagut"" (Gisk'aast)",Directed,1,53,Knows
6,2,"""Hladerh"" (Laxgibuu)",Sagaween (Laxsgiik),Directed,1,53,Exchange
4,6,"Gisk'aast (""Killer Whale Clan"")","""Hladerh"" (Laxgibuu)",Directed,1,53,Knows
55,3,"""ancestors of Wolves""","""Eagle-Raven clan""",Directed,1,53,Knows of
5,2,"""Sispagut"" (Gisk'aast)",Sagaween (Laxsgiik),Directed,1,53,Knows
7,2,"Oyee (""Oyai"")",Sagaween (Laxsgiik),Directed,1,53,Knows of
6,7,"""Hladerh"" (Laxgibuu)","Oyee (""Oyai"")",Directed,1,53,Knows of
14,2,real Barbeau,Sagaween (Laxsgiik),Directed,1,54,Knows
5,7,"""Sispagut"" (Gisk'aast)","Oyee (""Oyai"")",Directed,1,54,Knows
14,6,real Barbeau,"""Hladerh"" (Laxgibuu)",Directed,1,54,Knows of
14,20,real Barbeau,"Laxgibuu (""Wolf clan"")",Directed,1,54,Knows of
14,55,real Barbeau,"""ancestors of Wolves""",Directed,1,54,Knows of
20,55,"Laxgibuu (""Wolf clan"")","""ancestors of Wolves""",Directed,1,54,Knows
4,3,"Gisk'aast (""Killer Whale Clan"")","""Eagle-Raven clan""",Directed,1,54,Knows
4,2,"Gisk'aast (""Killer Whale Clan"")",Sagaween (Laxsgiik),Directed,1,54,Knows
2,7,Sagaween (Laxsgiik),"Oyee (""Oyai"")",Directed,1,54,Knows of
55,54,"""ancestors of Wolves""","""ancestors of Eagles""",Directed,1,54,Knows
2,5,Sagaween (Laxsgiik),"""Sispagut"" (Gisk'aast)",Directed,1,54,Knows
55,3,"""ancestors of Wolves""","""Eagle-Raven clan""",Directed,1,54,Knows of
5,4,"""Sispagut"" (Gisk'aast)","Gisk'aast (""Killer Whale Clan"")",Directed,1,54,Knows
3,55,"""Eagle-Raven clan""","""ancestors of Wolves""",Directed,1,54,Knows of
2,54,Sagaween (Laxsgiik),"""ancestors of Eagles""",Directed,1,54,Knows of
57,14,Macmillan Company of Canada,real Barbeau,Directed,1,54,Knows
2,3,Sagaween (Laxsgiik),"""Eagle-Raven clan""",Directed,1,54,Knows
14,7,real Barbeau,"Oyee (""Oyai"")",Directed,1,54,Knows of
7,6,"Oyee (""Oyai"")","""Hladerh"" (Laxgibuu)",Directed,1,54,Knows of
3,54,"""Eagle-Raven clan""","""ancestors of Eagles""",Directed,1,54,Knows
7,5,"Oyee (""Oyai"")","""Sispagut"" (Gisk'aast)",Directed,1,54,Knows
4,7,"Gisk'aast (""Killer Whale Clan"")","Oyee (""Oyai"")",Directed,1,54,Knows
14,4,real Barbeau,"Gisk'aast (""Killer Whale Clan"")",Directed,1,54,Knows
3,5,"""Eagle-Raven clan""","""Sispagut"" (Gisk'aast)",Directed,1,54,Knows
20,2,"Laxgibuu (""Wolf clan"")",Sagaween (Laxsgiik),Directed,1,54,Knows
7,2,"Oyee (""Oyai"")",Sagaween (Laxsgiik),Directed,1,54,Knows of
14,56,real Barbeau,Caxton Printers,Directed,1,54,Knows
56,14,Caxton Printers,real Barbeau,Directed,1,54,Knows
4,5,"Gisk'aast (""Killer Whale Clan"")","""Sispagut"" (Gisk'aast)",Directed,1,54,Knows
55,20,"""ancestors of Wolves""","Laxgibuu (""Wolf clan"")",Directed,1,54,Knows
4,6,"Gisk'aast (""Killer Whale Clan"")","""Hladerh"" (Laxgibuu)",Directed,1,54,Knows
14,5,real Barbeau,"""Sispagut"" (Gisk'aast)",Directed,1,54,Knows of
3,2,"""Eagle-Raven clan""",Sagaween (Laxsgiik),Directed,1,54,Knows
