source,target,Character 1,Character 2,type,weight,startPage,category
128,118,"""black folks"" (abstract)",Richard Wright,Directed,1,1,Knows
119,118,Richard's Childhood Gang,Richard Wright,Directed,1,1,Knows
119,120,Richard's Childhood Gang,"""white boys who lived beyond the tracks.""",Directed,1,1,Exchange
123,118,Richard Wright's Mother,Richard Wright,Directed,1,1,Knows
118,123,Richard Wright,Richard Wright's Mother,Directed,1,1,Knows
118,128,Richard Wright,"""black folks"" (abstract)",Directed,1,1,Knows
118,119,Richard Wright,Richard's Childhood Gang,Directed,1,1,Knows
120,119,"""white boys who lived beyond the tracks.""",Richard's Childhood Gang,Directed,1,1,Exchange
118,125,Richard Wright,"""white folks"" (abstract)",Directed,1,1,Knows
118,120,Richard Wright,"""white boys who lived beyond the tracks.""",Directed,1,1,Knows of
118,124,Richard Wright,Jim Crow,Directed,1,1,Knows of
123,125,Richard Wright's Mother,"""white folks"" (abstract)",Directed,1,2,Knows of
118,203,Richard Wright,white folks who employ Richard's mother,Directed,1,2,Knows of
122,118,Doctor,Richard Wright,Directed,1,2,Exchange
119,120,Richard's Childhood Gang,"""white boys who lived beyond the tracks.""",Directed,1,2,Exchange
125,118,"""white folks"" (abstract)",Richard Wright,Directed,1,2,Knows of
120,119,"""white boys who lived beyond the tracks.""",Richard's Childhood Gang,Directed,1,2,Exchange
123,118,Richard Wright's Mother,Richard Wright,Directed,1,2,Exchange
118,119,Richard Wright,Richard's Childhood Gang,Directed,1,2,Knows of
121,118,"""kind neighbor""",Richard Wright,Directed,1,2,Exchange
118,120,Richard Wright,"""white boys who lived beyond the tracks.""",Directed,1,2,Knows of
118,125,Richard Wright,"""white folks"" (abstract)",Directed,1,2,Knows of
118,123,Richard Wright,Richard Wright's Mother,Directed,1,2,Exchange
118,121,Richard Wright,"""kind neighbor""",Directed,1,2,Exchange
203,123,white folks who employ Richard's mother,Richard Wright's Mother,Directed,1,2,Knows
118,124,Richard Wright,Jim Crow,Directed,1,2,Knows of
118,122,Richard Wright,Doctor,Directed,1,2,Exchange
123,203,Richard Wright's Mother,white folks who employ Richard's mother,Directed,1,2,Knows
123,118,Richard Wright's Mother,Richard Wright,Directed,1,3,Exchange
118,126,Richard Wright,"Black preachers, teachers, and clerks (3)",Directed,1,3,Knows of
127,118,Boss of the optical company,Richard Wright,Directed,1,3,Exchange
123,10,Richard Wright's Mother,God,Directed,1,3,Knows of
125,118,"""white folks"" (abstract)",Richard Wright,Directed,1,3,Knows of
118,10,Richard Wright,God,Directed,1,3,Knows of
118,127,Richard Wright,Boss of the optical company,Directed,1,3,Exchange
118,124,Richard Wright,Jim Crow,Directed,1,3,Knows of
118,125,Richard Wright,"""white folks"" (abstract)",Directed,1,3,Knows of
118,123,Richard Wright,Richard Wright's Mother,Directed,1,3,Exchange
129,130,Pease,Morrie,Directed,1,4,Knows
130,118,Morrie,Richard Wright,Directed,1,4,Exchange
118,130,Richard Wright,Morrie,Directed,1,4,Exchange
118,127,Richard Wright,Boss of the optical company,Directed,1,4,Exchange
127,129,Boss of the optical company,Pease,Directed,1,4,Exchange
129,127,Pease,Boss of the optical company,Directed,1,4,Exchange
127,118,Boss of the optical company,Richard Wright,Directed,1,4,Exchange
130,129,Morrie,Pease,Directed,1,4,Knows
130,127,Morrie,Boss of the optical company,Directed,1,4,Exchange
127,130,Boss of the optical company,Morrie,Directed,1,4,Exchange
118,129,Richard Wright,Pease,Directed,1,4,Knows of
118,124,Richard Wright,Jim Crow,Directed,1,4,Knows of
118,132,Richard Wright,Boss of Clothing Store,Directed,1,5,Knows
130,129,Morrie,Pease,Directed,1,5,Knows
132,118,Boss of Clothing Store,Richard Wright,Directed,1,5,Knows
118,130,Richard Wright,Morrie,Directed,1,5,Exchange
118,124,Richard Wright,Jim Crow,Directed,1,5,Knows of
118,129,Richard Wright,Pease,Directed,1,5,Exchange
129,118,Pease,Richard Wright,Directed,1,5,Exchange
130,118,Morrie,Richard Wright,Directed,1,5,Exchange
129,130,Pease,Morrie,Directed,1,5,Knows
130,118,Morrie,Richard Wright,Directed,1,6,Exchange
130,129,Morrie,Pease,Directed,1,6,Knows
118,129,Richard Wright,Pease,Directed,1,6,Exchange
129,130,Pease,Morrie,Directed,1,6,Knows
129,118,Pease,Richard Wright,Directed,1,6,Exchange
118,130,Richard Wright,Morrie,Directed,1,6,Exchange
118,124,Richard Wright,Jim Crow,Directed,1,6,Knows of
133,118,Clothing Store Boss' Son,Richard Wright,Directed,1,7,Knows
133,134,Clothing Store Boss' Son,Woman in the Clothing store,Directed,1,7,Exchange
131,118,"""the folks at home"" (7)",Richard Wright,Directed,1,7,Exchange
134,135,Woman in the Clothing store,Police officer outside clothing store,Directed,1,7,Exchange
134,132,Woman in the Clothing store,Boss of Clothing Store,Directed,1,7,Exchange
118,131,Richard Wright,"""the folks at home"" (7)",Directed,1,7,Exchange
135,133,Police officer outside clothing store,Clothing Store Boss' Son,Directed,1,7,Knows
118,129,Richard Wright,Pease,Directed,1,7,Exchange
118,132,Richard Wright,Boss of Clothing Store,Directed,1,7,Knows
118,135,Richard Wright,Police officer outside clothing store,Directed,1,7,Knows
135,134,Police officer outside clothing store,Woman in the Clothing store,Directed,1,7,Exchange
135,132,Police officer outside clothing store,Boss of Clothing Store,Directed,1,7,Knows
133,132,Clothing Store Boss' Son,Boss of Clothing Store,Directed,1,7,Exchange
118,124,Richard Wright,Jim Crow,Directed,1,7,Knows of
118,130,Richard Wright,Morrie,Directed,1,7,Exchange
118,133,Richard Wright,Clothing Store Boss' Son,Directed,1,7,Knows
118,127,Richard Wright,Boss of the optical company,Directed,1,7,Knows
133,135,Clothing Store Boss' Son,Police officer outside clothing store,Directed,1,7,Knows
118,134,Richard Wright,Woman in the Clothing store,Directed,1,7,Knows
132,134,Boss of Clothing Store,Woman in the Clothing store,Directed,1,7,Exchange
129,118,Pease,Richard Wright,Directed,1,7,Exchange
130,118,Morrie,Richard Wright,Directed,1,7,Exchange
134,133,Woman in the Clothing store,Clothing Store Boss' Son,Directed,1,7,Exchange
127,118,Boss of the optical company,Richard Wright,Directed,1,7,Knows
132,133,Boss of Clothing Store,Clothing Store Boss' Son,Directed,1,7,Exchange
132,135,Boss of Clothing Store,Police officer outside clothing store,Directed,1,7,Knows
129,130,Pease,Morrie,Directed,1,7,Knows
130,129,Morrie,Pease,Directed,1,7,Knows
