
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"186","Exchange","Tony Loneman","Mario","1","Tony Loneman (I)","15","15"
"187","Exchange","Tony Loneman","Maxine","1","Tony Loneman (I)","15","15"
"188","Knows","Tony Loneman","Tony Loneman's Mother","1","Tony Loneman (I)","15","16"
"189","Exchange","Tony Loneman","Karen","1","Tony Loneman (I)","17","17"
"190","Knows","Tony Loneman","Mario","1","Tony Loneman (I)","17","17"
"191","Exchange","Tony Loneman","Maxine","1","Tony Loneman (I)","17","18"
"192","Knows of","Tony Loneman","MF Doom","0","Tony Loneman (I)","18","18"
"193","Exchange","Tony Loneman","Tony Loneman's Mother","1","Tony Loneman (I)","19","19"
"194","Knows of","Tony Loneman","Tony Loneman's Father","0","Tony Loneman (I)","19","19"
"195","Exchange","Tony Loneman","Maxine","1","Tony Loneman (I)","19","19"
"196","Exchange","Tony Loneman","Maxine","1","Tony Loneman (I)","20","21"
"197","Knows of","Tony Loneman","Louise Erdrich","0","Dene Oxendene (I)","20","20"
"199","Knows","Tony Loneman","Maxine","1","Tony Loneman (I)","21","21"
"200","Exchange","Tony Loneman","""white boy in the Kangol hat""","1","Tony Loneman (I)","21","21"
"201","Exchange","Tony Loneman","Carlos","1","Tony Loneman (I)","21","21"
"202","Knows","Tony Loneman","Octavio Gomez","1","Tony Loneman (I)","21","22"
"203","Exchange","Tony Loneman","Octavio Gomez","1","Tony Loneman (I)","22","22"
"205","Knows of","Tony Loneman","Josefina ""Fina"" (Octavio Gomez's Grandmother)","0","Tony Loneman (I)","22","22"
"206","Knows","Tony Loneman","Maxine","1","Tony Loneman (I)","22","22"
"207","Exchange","Tony Loneman","Octavio Gomez","1","Tony Loneman (I)","23","26"
"208","Knows","Tony Loneman","Maxine","1","Tony Loneman (I)","23","23"
"209","Knows","Tony Loneman","Maxine","1","Tony Loneman (I)","24","24"
"212","Knows of","Tony Loneman","Big Oakland Powwow","0","Tony Loneman (I)","24","24"
"214","Knows of","Tony Loneman","Big Oakland Powwow","0","Tony Loneman (I)","25","26"
"287","Knows of","Tony Loneman","The white men","0","Tony Loneman (I)","18","18"
"290","Exchange","Tony Loneman","""some homies""","1","Tony Loneman (I)","20","20"
"291","Exchange","Tony Loneman","""white boys from the hills""","1","Tony Loneman (I)","21","22"
"292","Knows of","Tony Loneman","Texas Rangers","0","Tony Loneman (I)","24","24"
"294","Knows of","Tony Loneman","Oakland Athletics","0","Tony Loneman (I)","24","24"
"853","Exchange","Tony Loneman","Security Guard","1","Tony Loneman (II)","142","142"
"854","Knows of","Tony Loneman","Big Oakland Powwow","0","Tony Loneman (II)","142","143"
"210","Knows","Dene Oxendene","Kid on the bus","1","Dene Oxendene (I)","28","28"
"215","Knows","Dene Oxendene","Kevin Farley","1","Dene Oxendene (I)","29","29"
"216","Knows of","Dene Oxendene","Radiohead","0","Dene Oxendene (I)","29","29"
"217","Knows","Dene Oxendene","Lucas","1","Dene Oxendene (I)","29","30"
"218","Exchange","Dene Oxendene","Norma","1","Dene Oxendene (I)","30","30"
"220","Exchange","Dene Oxendene","Lucas","1","Dene Oxendene (I)","30","33"
"223","Knows of","Dene Oxendene","Opal Viola Victoria Bear Shield","0","Dene Oxendene (I)","32","32"
"225","Knows","Dene Oxendene","Norma","1","Dene Oxendene (I)","33","33"
"226","Exchange","Dene Oxendene","Norma","1","Dene Oxendene (I)","34","36"
"227","Exchange","Dene Oxendene","Lucas","1","Dene Oxendene (I)","36","37"
"228","Exchange","Dene Oxendene","Rob","1","Dene Oxendene (I)","37","39"
"230","Knows of","Dene Oxendene","Gertrude Stein","0","Dene Oxendene (I)","38","39"
"231","Exchange","Dene Oxendene","""youngish Hispanic guy"" (grant judge)","1","Dene Oxendene (I)","39","41"
