Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Caddy,Quentin Compson III,Benjamin Compson,Jason Compson,Dilsey,Quentin Jr.
9,Quentin confronts Dalton,1909-08-17,1909-08-17,T,Quentin Compson III,160,160,1910-06-02,1910-06-02,76,179,T,what will you do...,F,T,F,F,F,F
9,Quentin confronts Dalton,1909-08-17,1909-08-17,T,Quentin Compson III,161,161,1910-06-02,1910-06-02,76,179,T,you can hit it now,F,T,F,F,F,F
9,Quentin confronts Dalton,1909-08-17,1909-08-17,T,Quentin Compson III,162,162,1910-06-02,1910-06-02,76,179,T,go on let me alone,F,T,F,F,F,F
21,Quentin fights Gerald,1910-06-02,1910-06-02,T,Quentin Compson III,164,164,1910-06-02,1910-06-02,76,179,T,"""Did I hurt him any?""",F,T,F,F,F,F
21,Quentin fights Gerald,1910-06-02,1910-06-02,T,Quentin Compson III,165,165,1910-06-02,1910-06-02,76,179,T,"""...fought him...""",F,T,F,F,F,F
21,Quentin fights Gerald,1910-06-02,1910-06-02,T,Quentin Compson III,166,166,1910-06-02,1910-06-02,76,179,T,"""...hit that son of a bitch?""",F,T,F,F,F,F
21,Quentin fights Gerald,1910-06-02,1910-06-02,T,Quentin Compson III,167,167,1910-06-02,1910-06-02,76,179,T,"""I'm sorry I hit him...""",F,T,F,F,F,F
21,Quentin fights Gerald,1910-06-02,1910-06-02,T,Quentin Compson III,168,168,1910-06-02,1910-06-02,76,179,T,"""...I spoiled her party...""",F,T,F,F,F,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Quentin Compson III,170,170,1910-06-02,1910-06-02,76,179,T,Dilsey said it was...,T,F,T,F,T,F
5,Benjy's pasture is sold,1909-05-01,1909-05-01,T,Quentin Compson III,174,174,1910-06-02,1910-06-02,76,179,T,...sell Benjy's pasture...,F,F,T,F,F,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,T,Quentin Compson III,174,174,1910-06-02,1910-06-02,76,179,T,Mr and Mrs Jason...,T,T,T,F,F,F
22,Quentin commits suicide,1910-06-02,1910-06-02,T,Quentin Compson III,174,174,1910-06-02,1910-06-02,76,179,T,I will be dead in.,F,T,F,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,T,Quentin Compson III,175,175,1910-06-02,1910-06-02,76,179,T,...the Patterson boy...,T,F,T,F,F,F
3,Caddy wears perfume,1906-07-01,1906-07-01,T,Quentin Compson III,176,176,1910-06-02,1910-06-02,76,179,T,...perfume Benjy hated...,T,F,T,T,T,F
10,Quentin admits to incest,1909-08-31,1909-08-31,T,Quentin Compson III,176,176,1910-06-02,1910-06-02,76,179,T,...and he... (see R&P),T,T,F,F,F,F
10,Quentin admits to incest,1909-08-31,1909-08-31,T,Quentin Compson III,177,177,1910-06-02,1910-06-02,76,179,T,cause for alarm... (R&P),T,T,F,F,F,F
31,Jason receives Caddy's letter,1928-04-06,1928-04-06,T,Jason Compson,190,190,4-6-1928,4-6-1928,180,264,T,...her letter...,T,F,F,T,F,T
15,Benjy is castrated,1910-04-25,1910-04-25,T,Jason Compson,196,196,1928-04-06,1928-04-06,180,264,T,...geldings in the cavalry...,F,F,T,F,F,F
22,Quentin commits suicide,1910-06-02,1910-06-02,T,Jason Compson,196,196,1928-04-06,1928-04-06,180,264,T,...swim at night...,F,T,F,F,F,F
25,Quentin Jr. lives with Compsons,1911-08-01,1911-08-01,T,Jason Compson,196,196,1928-04-06,1928-04-06,180,264,T,sent Quentin home,T,F,F,T,F,T
26,Father's death,1912-03-01,1912-03-01,T,Jason Compson,196,196,1928-04-06,1928-04-06,180,264,T,...what water is.,F,F,T,T,T,T
5,Benjy's pasture is sold,1909-05-01,1909-05-01,T,Jason Compson,197,197,1928-04-06,1928-04-06,180,264,T,"""...sell something to...""",F,F,T,F,F,F
22,Quentin commits suicide,1910-06-02,1910-06-02,T,Jason Compson,197,197,1928-04-06,1928-04-06,180,264,T,"""...the two of them...""",F,T,F,F,F,F
26,Father's death,1912-03-01,1912-03-01,T,Jason Compson,197,197,1928-04-06,1928-04-06,180,264,T,...when he passed.,F,F,T,T,T,T
23,Herbert divorces Caddy,1911-07-01,1911-07-01,T,Jason Compson,198,198,1928-04-06,1928-04-06,180,264,T,didn't even see him,T,F,F,T,T,T
24,Jason loses Herbert's job,1911-07-02,1911-07-02,T,Jason Compson,198,198,1928-04-06,1928-04-06,180,264,T,..my job home...,F,F,F,T,F,T
25,Quentin Jr. lives with Compsons,1911-08-01,1911-08-01,T,Jason Compson,198,198,1928-04-06,1928-04-06,180,264,T,...brought my job home...,T,F,F,T,F,T
25,Quentin Jr. lives with Compsons,1911-08-01,1911-08-01,T,Jason Compson,199,199,1928-04-06,1928-04-06,180,264,T,...the suffering you've...,T,F,F,T,F,T
25,Quentin Jr. lives with Compsons,1911-08-01,1911-08-01,T,Jason Compson,200,200,1928-04-06,1928-04-06,180,264,T,Dilsey fixed the cradle,T,F,F,T,F,T
24,Jason loses Herbert's job,1911-07-02,1911-07-02,T,Jason Compson,202,202,1928-04-06,1928-04-06,180,264,T,"""Oh, that job.""",F,F,F,T,F,T
26,Father's death,1912-03-01,1912-03-01,T,Jason Compson,202,202,1928-04-06,1928-04-06,180,264,T,...throwing dirt into it...,F,F,T,T,T,T
22,Quentin commits suicide,1910-06-02,1910-06-02,T,Jason Compson,203,203,1928-04-06,1928-04-06,180,264,T,"""...him and Quentin...""",F,T,F,F,F,F
26,Father's death,1912-03-01,1912-03-01,T,Jason Compson,203,203,1928-04-06,1928-04-06,180,264,T,"""Why didn't they let me know?""",F,F,T,T,T,T
27,Caddy pays Jason to see Quentin Jr.,1912-06-01,1912-06-01,T,Jason Compson,203,203,1928-04-06,1928-04-06,180,264,T,"""...fifty dollars.""",T,F,F,T,F,T
27,Caddy pays Jason to see Quentin Jr.,1912-06-01,1912-06-01,T,Jason Compson,204,204,1928-04-06,1928-04-06,180,264,T,"""Yes,"" she says.",T,F,F,T,F,T
24,Jason loses Herbert's job,1911-07-02,1911-07-02,T,Jason Compson,205,205,1928-04-06,1928-04-06,180,264,T,...beat me out of a job...,F,F,F,T,F,T
27,Caddy pays Jason to see Quentin Jr.,1912-06-01,1912-06-01,T,Jason Compson,205,205,1928-04-06,1928-04-06,180,264,T,...counted the money...,T,F,F,T,F,T
24,Jason loses Herbert's job,1911-07-02,1911-07-02,T,Jason Compson,206,206,1928-04-06,1928-04-06,180,264,T,"""...cost me one job...""",F,F,F,T,F,T
28,Jason finds Caddy seeing Quentin Jr.,1912-09-01,1912-09-01,T,Jason Compson,207,207,1928-04-06,1928-04-06,180,264,T,"""...see her own baby.""",T,F,T,T,T,T
28,Jason finds Caddy seeing Quentin Jr.,1912-09-01,1912-09-01,T,Jason Compson,208,208,1928-04-06,1928-04-06,180,264,T,...I told her...,T,F,T,T,T,T
32,Quentin Jr. asks Jason for money,1928-04-06,1928-04-06,T,Jason Compson,212,212,4-6-1928,4-6-1928,180,264,T,"""Please, Jason...""",T,F,F,T,F,T
32,Quentin Jr. asks Jason for money,1928-04-06,1928-04-06,T,Jason Compson,213,213,4-6-1928,4-6-1928,180,264,T,"""She said she would..""",T,F,F,T,F,T
32,Quentin Jr. asks Jason for money,1928-04-06,1928-04-06,T,Jason Compson,214,214,4-6-1928,4-6-1928,180,264,T,"Jason, please please please.",T,F,F,T,F,T
32,Quentin Jr. asks Jason for money,1928-04-06,1928-04-06,T,Jason Compson,215,215,4-6-1928,4-6-1928,180,264,T,"""You know as much...""",T,F,F,T,F,T
33,Jason forges a check,1928-04-06,1928-04-06,T,Jason Compson,216,216,4-6-1928,4-6-1928,180,264,T,"""...fixed the check...""",F,F,F,T,F,T
34,Jason gives Mother forged check to burn,1928-04-06,1928-04-06,T,Jason Compson,218,218,4-6-1928,4-6-1928,180,264,T,She took the match...,F,F,F,T,F,F
34,Jason gives Mother forged check to burn,1928-04-06,1928-04-06,T,Jason Compson,219,219,4-6-1928,4-6-1928,180,264,T,"""...burning this...""",F,F,F,T,F,F
23,Herbert divorces Caddy,1911-07-01,1911-07-01,T,Jason Compson,220,220,1928-04-06,1928-04-06,180,264,T,Herbert threw her out,T,F,F,T,T,T
34,Jason gives Mother forged check to burn,1928-04-06,1928-04-06,T,Jason Compson,220,220,4-6-1928,4-6-1928,180,264,T,...watch them burn.,F,F,F,T,F,F
11,Herbert offers Jason a job,1910-03-01,1910-03-01,T,Quentin Compson III,221,221,1910-06-02,1910-06-02,180,264,T,...after his promise--,T,T,F,T,F,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,T,Jason Compson,221,221,1928-04-06,1928-04-06,180,264,T,...when she married...,T,T,T,F,F,F
22,Quentin commits suicide,1910-06-02,1910-06-02,T,Jason Compson,226,226,1928-04-06,1928-04-06,180,264,T,"""...they had to be taken.""",F,T,F,F,F,F
6,Caddy and Charlie have sex,1909-07-01,1909-07-01,T,Jason Compson,229,299,1928-04-06,1928-04-06,180,264,T,...one of them kissing...,T,F,T,F,F,F
35,Jason sees Quentin and man w/ red tie,1928-04-06,1928-04-06,T,Jason Compson,231,231,4-6-1928,4-6-1928,180,264,T,"""...and saw her.""",F,F,F,T,F,T
35,Jason sees Quentin and man w/ red tie,1928-04-06,1928-04-06,T,Jason Compson,232,232,4-6-1928,4-6-1928,180,264,T,...the red tie...,F,F,F,T,F,T
5,Benjy's pasture is sold,1909-05-01,1909-05-01,T,Jason Compson,233,233,1928-04-06,1928-04-06,180,264,T,Selling land to send...,F,F,T,F,F,F
22,Quentin commits suicide,1910-06-02,1910-06-02,T,Jason Compson,233,233,1928-04-06,1928-04-06,180,264,T,...drowned himself...,F,T,F,F,F,F
23,Herbert divorces Caddy,1911-07-01,1911-07-01,T,Jason Compson,233,233,1928-04-06,1928-04-06,180,264,T,...by her husband...,T,F,F,T,T,T
35,Jason sees Quentin and man w/ red tie,1928-04-06,1928-04-06,T,Jason Compson,233,233,4-6-1928,4-6-1928,180,264,T,She dodged out of...,F,F,F,T,F,T
36,Jason chases Quentin and man w/ red tie,1928-04-06,1928-04-06,T,Jason Compson,238,238,4-6-1928,4-6-1928,180,264,T,came to the first fork,F,F,F,T,F,T
37,Jason loses money at stock market,1928-04-06,1928-04-06,T,Jason Compson,243,243,4-6-1928,4-6-1928,180,264,T,"""...forty points down.""",F,F,F,T,F,F
30,Roskus dies,1915-07-01,1915-07-01,T,Jason Compson,251,251,4-6-1928,4-6-1928,180,264,T,...Roskus...died.,F,F,T,F,T,F
14,Benjy assaults Burgess girl,1910-04-25,1910-04-25,T,Jason Compson,253,253,1928-04-06,1928-04-06,180,264,T,...open gates...,T,F,T,T,F,F
15,Benjy is castrated,1910-04-25,1910-04-25,T,Jason Compson,253,253,1928-04-06,1928-04-06,180,264,T,...what they did to Ben...,F,F,T,F,F,F
22,Quentin commits suicide,1910-06-02,1910-06-02,T,Jason Compson,261,261,1928-04-06,1928-04-06,180,264,T,"I didn't dream that he...""",F,T,F,F,F,F
5,Benjy's pasture is sold,1909-05-01,1909-05-01,T,Jason Compson,262,262,1928-04-06,1928-04-06,180,264,T,"""...sell the land to...""",F,F,T,F,F,F
11,Herbert offers Jason a job,1910-03-01,1910-03-01,T,Quentin Compson III,262,262,1910-06-02,1910-06-02,180,264,T,"""...Herbert offered you...""",T,T,F,T,F,F
14,Benjy assaults Burgess girl,1910-04-25,1910-04-25,T,Jason Compson,263,263,1928-04-06,1928-04-06,180,264,T,...Mr Burgess...,T,F,T,T,F,F
15,Benjy is castrated,1910-04-25,1910-04-25,T,Jason Compson,263,263,1928-04-06,1928-04-06,180,264,T,...Great American Gelding...,F,F,T,F,F,F
42,Compsons see Quentin Jr. and money are gone,1928-04-08,1928-04-08,T,3rd-Person Narrator,280,280,,,265,321,T,"""Jason sprang up.""",F,F,T,T,T,T
42,Compsons see Quentin Jr. and money are gone,1928-04-08,1928-04-08,T,3rd-Person Narrator,281,281,,,265,321,T,"""She carry the key...?""",F,F,T,T,T,T
42,Compsons see Quentin Jr. and money are gone,1928-04-08,1928-04-08,T,3rd-Person Narrator,282,282,,,265,321,T,"""Something terrible...""",F,F,T,T,T,T
22,Quentin commits suicide,1910-06-02,1910-06-02,T,3rd-Person Narrator,283,283,,,265,321,T,"""Quentin left a note...""",F,T,F,F,F,F
42,Compsons see Quentin Jr. and money are gone,1928-04-08,1928-04-08,T,3rd-Person Narrator,283,283,,,265,321,T,Then he upended the box...,F,F,T,T,T,T
41,Quentin Jr. runs away,1928-04-07,1928-04-07,T,3rd-Person Narrator,284,284,,,265,321,T,Robbery.,F,F,T,F,F,T
42,Compsons see Quentin Jr. and money are gone,1928-04-08,1928-04-08,T,3rd-Person Narrator,284,284,,,265,321,T,...the box in his hands...,F,F,T,T,T,T
43,Benjy goes to Dilsey's church,1928-04-08,1928-04-08,T,3rd-Person Narrator,292,292,,,265,321,T,"""The church...""",F,F,T,F,T,F
43,Benjy goes to Dilsey's church,1928-04-08,1928-04-08,T,3rd-Person Narrator,293,293,,,265,321,T,The second man was...,F,F,T,F,T,F
43,Benjy goes to Dilsey's church,1928-04-08,1928-04-08,T,3rd-Person Narrator,294,294,,,265,321,T,...with a sort of...,F,F,T,F,T,F
43,Benjy goes to Dilsey's church,1928-04-08,1928-04-08,T,3rd-Person Narrator,295,295,,,265,321,T,...trascended its shabbiness...,F,F,T,F,T,F
43,Benjy goes to Dilsey's church,1928-04-08,1928-04-08,T,3rd-Person Narrator,296,296,,,265,321,T,...mopped his face.,F,F,T,F,T,F
43,Benjy goes to Dilsey's church,1928-04-08,1928-04-08,T,3rd-Person Narrator,297,297,,,265,321,T,Breddren!,F,F,T,F,T,F
22,Quentin commits suicide,1910-06-02,1910-06-02,T,3rd-Person Narrator,299,299,,,265,321,T,"""Even Quentin did that.""",F,T,F,F,F,F
41,Quentin Jr. runs away,1928-04-07,1928-04-07,T,3rd-Person Narrator,303,303,,,265,321,T,...has been robbed.,F,F,T,F,F,T
45,Sherriff refuses Jason help,1928-04-08,1928-04-08,T,3rd-Person Narrator,303,303,,,265,321,T,"""That'll do.""",F,F,F,T,F,T
24,Jason loses Herbert's job,1911-07-02,1911-07-02,T,3rd-Person Narrator,304,304,,,265,321,T,"""...cost me a job...""",F,F,F,T,F,T
41,Quentin Jr. runs away,1928-04-07,1928-04-07,T,3rd-Person Narrator,304,304,,,265,321,T,...recover my property...,F,F,T,F,F,T
45,Sherriff refuses Jason help,1928-04-08,1928-04-08,T,3rd-Person Narrator,304,304,,,265,321,T,"""That's it, Jason.""",F,F,F,T,F,T
46,Jason goes to Mottson,1928-04-08,1928-04-08,T,3rd-Person Narrator,305,305,,,265,321,T,"""...drove off.""",F,F,F,T,F,T
24,Jason loses Herbert's job,1911-07-02,1911-07-02,T,3rd-Person Narrator,306,306,,,265,321,T,...lose my job...,F,F,F,T,F,T
46,Jason goes to Mottson,1928-04-08,1928-04-08,T,3rd-Person Narrator,306,306,,,265,321,T,...and the owner...,F,F,F,T,F,T
24,Jason loses Herbert's job,1911-07-02,1911-07-02,T,3rd-Person Narrator,307,307,,,265,321,T,...the lost job...,F,F,F,T,F,T
41,Quentin Jr. runs away,1928-04-07,1928-04-07,T,3rd-Person Narrator,307,307,,,265,321,T,...outwitted by a woman...,F,F,T,F,F,T
46,Jason goes to Mottson,1928-04-08,1928-04-08,T,3rd-Person Narrator,307,307,,,265,321,T,When it was necessary...,F,F,F,T,F,T
46,Jason goes to Mottson,1928-04-08,1928-04-08,T,3rd-Person Narrator,308,308,,,265,321,T,...have to trust to...,F,F,F,T,F,T
41,Quentin Jr. runs away,1928-04-07,1928-04-07,T,3rd-Person Narrator,309,309,,,265,321,T,...robbed by Quentin...,F,F,T,F,F,T
46,Jason goes to Mottson,1928-04-08,1928-04-08,T,3rd-Person Narrator,309,309,,,265,321,T,...then what they did...,F,F,F,T,F,T
46,Jason goes to Mottson,1928-04-08,1928-04-08,T,3rd-Person Narrator,310,310,,,265,321,T,...yet so fatally...,F,F,F,T,F,T
46,Jason goes to Mottson,1928-04-08,1928-04-08,T,3rd-Person Narrator,311,311,,,265,321,T,...die seized him and he...,F,F,F,T,F,T
46,Jason goes to Mottson,1928-04-08,1928-04-08,T,3rd-Person Narrator,312,312,,,265,321,T,"""Yes. He said they...""",F,F,F,T,F,T
46,Jason goes to Mottson,1928-04-08,1928-04-08,T,3rd-Person Narrator,313,313,,,265,321,T,"""What'll you charge to...""",F,F,F,T,F,T
46,Jason goes to Mottson,1928-04-08,1928-04-08,T,3rd-Person Narrator,314,314,,,265,321,T,...were turning peacefully...,F,F,F,T,F,T
47,Jason attacks Luster,1928-04-08,1928-04-08,T,3rd-Person Narrator,320,320,,,265,321,T,"""Jason came jumping...""",F,F,T,T,F,F
